2018/03/20 09:24:27;0;A;Wersja oprogramowania;;M2018/0332#00;;;;
2018/03/20 09:40:58;0;A;SPA-5 Mode;;Mode: 1-Start;;;;;
2018/03/20 09:40:58;0;A;SPA-5 Mode;;Mode: 2-Diag;;;;;
2018/03/20 09:44:14;0;A;SPA-5 Mode;;Mode: 1-Start;;;;;
2018/03/20 09:44:14;0;A;ELS-95 Diagn.;1;"Stan czujnika koła: Usterka transmisji;
Poziom F1: 0,6, Poziom F2: 0,6;
Status A ?: ;
STS:;";;;
2018/03/20 09:44:14;0;A;ELS-95 Diagn.;2;"Stan czujnika koła: Usterka transmisji;
Poziom F1: 0,6, Poziom F2: 0,6;
Status A ?: ;
STS:;";;;
2018/03/20 09:44:14;0;A;ELS-95 Diagn.;3;"Stan czujnika koła: Usterka transmisji;
Poziom F1: 0,6, Poziom F2: 0,6;
Status A ?: ;
STS:;";;;
2018/03/20 09:44:14;0;A;ELS-95 Diagn.;4;"Stan czujnika koła: Usterka transmisji;
Poziom F1: 0,6, Poziom F2: 0,6;
Status A ?: ;
STS:;";;;
2018/03/20 09:45:04;0;A;SPA-5 Mode;;Mode: 8-Active;;;;;
2018/03/20 09:45:04;0;A;Alarm;51;Amber road signals hardware failure;Alarm aktywny!;Pierwsza kategoria;0;
2018/03/20 09:45:04;0;A;Alarm;60;Not Recognized event;Alarm aktywny!;Pierwsza kategoria;0;
2018/03/20 09:45:05;0;A;Alarm;26;Not Recognized event;Alarm aktywny!;Druga kategoria;0;
2018/03/20 09:45:05;0;A;Alarm;44;Not Recognized event;Alarm aktywny!;Druga kategoria;0;
2018/03/20 09:45:06;0;A;Alarm;7;Usterka modułu EOD;Alarm aktywny!;Pierwsza kategoria;0;
2018/03/20 09:45:06;0;A;Alarm;14;Rezerwa;Alarm aktywny!;Pierwsza kategoria;0;
2018/03/20 10:00:24;0;A;SPA-5 Mode;;Mode: 1-Start;;;;;
2018/03/20 10:00:24;0;A;ELS-95 Diagn.;1;"Stan czujnika koła: Usterka transmisji;
Poziom F1: 0,6, Poziom F2: 0,6;
Status A ?: ;
STS:;";;;
2018/03/20 10:00:24;0;A;ELS-95 Diagn.;2;"Stan czujnika koła: Usterka transmisji;
Poziom F1: 0,6, Poziom F2: 0,6;
Status A ?: ;
STS:;";;;
2018/03/20 10:00:24;0;A;ELS-95 Diagn.;3;"Stan czujnika koła: Usterka transmisji;
Poziom F1: 0,6, Poziom F2: 0,6;
Status A ?: ;
STS:;";;;
2018/03/20 10:00:24;0;A;ELS-95 Diagn.;4;"Stan czujnika koła: Usterka transmisji;
Poziom F1: 0,6, Poziom F2: 0,6;
Status A ?: ;
STS:;";;;
2018/03/20 10:05:30;0;A;SPA-5 Mode;;Mode: 1-Start;;;;;
2018/03/20 10:05:30;0;A;ELS-95 Diagn.;1;"Stan czujnika koła: Usterka transmisji;
Poziom F1: 0,6, Poziom F2: 0,6;
Status A ?: ;
STS:;";;;
2018/03/20 10:05:30;0;A;ELS-95 Diagn.;2;"Stan czujnika koła: Usterka transmisji;
Poziom F1: 0,6, Poziom F2: 0,6;
Status A ?: ;
STS:;";;;
2018/03/20 10:05:30;0;A;ELS-95 Diagn.;3;"Stan czujnika koła: Usterka transmisji;
Poziom F1: 0,6, Poziom F2: 0,6;
Status A ?: ;
STS:;";;;
2018/03/20 10:05:30;0;A;ELS-95 Diagn.;4;"Stan czujnika koła: Usterka transmisji;
Poziom F1: 0,6, Poziom F2: 0,6;
Status A ?: ;
STS:;";;;
2018/03/20 10:06:19;0;A;SPA-5 Mode;;Mode: 8-Active;;;;;
2018/03/20 10:06:19;0;A;Alarm;51;Amber road signals hardware failure;Alarm aktywny!;Pierwsza kategoria;0;
2018/03/20 10:06:19;0;A;Alarm;60;Not Recognized event;Alarm aktywny!;Pierwsza kategoria;0;
2018/03/20 10:06:20;0;A;Alarm;26;Not Recognized event;Alarm aktywny!;Druga kategoria;0;
